artigoEmPeriodico	Alex Sandro Gomes Leao	2018	1809-1636		A APRENDIZAGEM SIGNIFICATIVA EM UM CONTEXTO MATEMÁTICO: ESTUDOS SOBRE O CONCEITO DE ÁREA	VIVÊNCIAS (URI. ERECHIM)	LEÃO, A. S. G.; PESSANO, E. F. C. ; CERETA, A. S. ; BORTOLUZZI, L. R.	B5	
trabalhoCompletoEmCongresso	Alex Sandro Gomes Leao	2017		DO ARROZ AO FEIJÃO: OS EFEITOS ECONÔMICOS DA CESTA BÁSICA NA ECONOMIA ITAQUIENSE1	IV Seminário Internacional de Ciências Sociais - Ciência Política - Buscando o Sul	LEÃO, A. S. G.; ALMEIDA, M. G. S. ; LEAO, A. P. F.	Qualis nao identificado	IV Seminário Internacional de Ciências Sociais - Ciência Política - Buscando o Sul
trabalhoCompletoEmCongresso	Alex Sandro Gomes Leao	2017		A aprendizagem significativa num contexto matemático: estudos sobre o conceito de área	I Encontro Regional de Ensino de Ciências	LEÃO, A. S. G.; CERETA, A. S.	Qualis nao identificado	I Encontro Regional de Ensino de Ciências
trabalhoCompletoEmCongresso	Alex Sandro Gomes Leao	2017		A Resolução de Problemas como proposta metodológica para o ensino de trigonometria no triângulo retângulo	I Encontro Regional de Ensino de Ciências	LEÃO, A. S. G.; ESPINDOLA, G. M. ; DALCIN, M. M. ; LEON, F. A.	Qualis nao identificado	I Encontro Regional de Ensino de Ciências
resumoExpandidoEmCongresso	Alisson Daros Santos	2018	Latex: desvendando novas ferramentas para a edição e apresentação de textos científicos	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	DARÓS, ALISSON; CARA, E. R. ; ALVES, R. ; GRACES, M.	Qualis nao identificado	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
resumoExpandidoEmCongresso	Alisson Daros Santos	2018	Monitoria na Disciplina de Cálculo Diferencial e Integral	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	DARÓS, ALISSON; SOUZA, E. K. M.	Qualis nao identificado	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
artigoEmPeriodico	Charles Quevedo Carpes	2016	0377-0427	http://dx.doi.org/10.1016/j.cam.2015.01.022	Numerical analysis of the acoustics of a diffusion flame	Journal of Computational and Applied Mathematics	CARPES, CHARLES QUEVEDO; de Bortoli, Álvaro Luiz	Qualis nao identificado	Journal of Computational and Applied Mathematics
trabalhoCompletoEmCongresso	Cristina dos Santos Lovato	2016		Representações de gêneros sociais: análise da imagem em exemplares da revista Jornal da Mulher	8 º Salão Internacional de Ensino	LIMA, A. B. ; ALVES, A. J. L. ; LOVATO, C. S.	Qualis nao identificado	8 º Salão Internacional de Ensino
trabalhoCompletoEmCongresso	Cristina dos Santos Lovato	2016		Produtos culturais destinados ao público feminino e à natureza feminina: análise da ação do discurso	8º Salão Internacional de Ensino	ALVES, A. J. L. ; LIMA, A. B. ; LOVATO, C. S.	Qualis nao identificado	8º Salão Internacional de Ensino
trabalhoCompletoEmCongresso	Cristina dos Santos Lovato	2016		UNIESCOLA: uma proposta de integração entre universidade e escola	Salão Internacional de Ensino	CAMARGO, M. ; LOVATO, C. S.	Qualis nao identificado	Salão Internacional de Ensino
artigoEmPeriodico	Deise Pedroso Maggio	2018	1518-8221		Argumentação na Abordagem do Pensamento Funcional no Ensino Fundamental: Análise de atividades em um livro didático de matemática	EDUCAÇÃO MATEMÁTICA EM REVISTA-RS	SILVA, J. G ; MAGGIO, D.P ; NEHRING, C. M.	B5	
trabalhoCompletoEmCongresso	Deise Pedroso Maggio	2017		A Argumentação na Abordagem do Pensamento Funcional no Ensino Médio: Uma análise de atividades presentes em um livro didático de matemática	Congresso Internacional de Ensino da Matemática	SILVA, J. G ; MAGGIO, D.P ; NEHRING, C. M.	Qualis nao identificado	Congresso Internacional de Ensino da Matemática
trabalhoCompletoEmCongresso	Deise Pedroso Maggio	2016		Argumentação nas Pesquisas Brasileiras em Educação Matemática: Um olhar para os referenciais teóricos	VI Jornada Nacional de Educação Matemática e XIX Jornada Regional de Educação Matemática	SILVA, J. G ; MAGGIO, D. P. ; NEHRING, C. M.	Qualis nao identificado	VI Jornada Nacional de Educação Matemática e XIX Jornada Regional de Educação Matemática
trabalhoCompletoEmCongresso	Deise Pedroso Maggio	2016		Mapeamento de Pesquisas que Utilizam o Referencial dos Registros de Representação Semiótica - RRS: A produção em periódicos brasileiros	XII ENEM - Encontro Nacional de Educação Matemática	MAGGIO, D. P.; NEHRING, C. M.	Qualis nao identificado	XII ENEM - Encontro Nacional de Educação Matemática
resumoExpandidoEmCongresso	Deise Pedroso Maggio	2016	Análise das operações metadiscursivas e discursivas na resolução de um problema algébrico	Salão do Conhecimento-XXI Jornada de Pesquisa, 2016, IJuí. Ciência Alimentando o Brasil. Ijuí: UNIJUÍ	MAGGIO, D. P.; NEHRING, C. M.	Qualis nao identificado	Salão do Conhecimento-XXI Jornada de Pesquisa, 2016, IJuí. Ciência Alimentando o Brasil. Ijuí: UNIJUÍ
resumoExpandidoEmCongresso	Deise Pedroso Maggio	2016	Os significados e os significantes do conceito de função nas pesquisas brasileiras em educação matemática: um olhar para os referenciais teóricos	Salão do Conhecimento-XXIV Seminário de Iniciação Científica, 2016, Ijuí. Ciência Alimentando o Brasil. Ijuí: Unijuí	SILVA, J. G ; MAGGIO, D. P.	Qualis nao identificado	Salão do Conhecimento-XXIV Seminário de Iniciação Científica, 2016, Ijuí. Ciência Alimentando o Brasil. Ijuí: Unijuí
artigoEmPeriodico	Elisa Regina Cara	2016	1679-365X		Invasão de uma espécie com efeito Allee forte	Biomatemática (UNICAMP)	CARA, E. R.; MISTRO, D. C.	Qualis nao identificado	Biomatemática (UNICAMP)
resumoExpandidoEmCongresso	Elisa Regina Cara	2018	LaTeX: desvendando novas ferramentas para a edição e apresentação de textos científicos	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	RODRIGUES, R. A. ; GRACES, M. J. ; CARA, E. R. ; SANTOS, A. D.	Qualis nao identificado	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
resumoExpandidoEmCongresso	Elisa Regina Cara	2018	Monitoria na Disciplina de Cálculo Diferencial e Integral	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	SOUZA, E. K. M. ; SANTOS, A. D. ; CARA, E. R.	Qualis nao identificado	10º SIEPE - Salão Internacional de Instituições de Ensino do Pampa, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
resumoExpandidoEmCongresso	Elisa Regina Cara	2016	Um modelo discreto espacialmente estruturado para dinâmica populacional	8º Salão Internacional de Ensino, Pesquisa e Extensão, 2016, Uruguaiana. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	SILVA, A. L. ; CARA, E. R.	Qualis nao identificado	8º Salão Internacional de Ensino, Pesquisa e Extensão, 2016, Uruguaiana. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
artigoEmPeriodico	Gabriel dos Santos Kehler	2016	1809-3264		Google Drive como ferramenta pedagógica: uma proposta colaborativa no âmbito do PIBID	Revista Querubim	BRAGANCA, G. M. ; CERETA, A. S. ; KEHLER, G. S.	B3	REVISTA QUERUBIM
artigoEmPeriodico	Gabriel dos Santos Kehler	2016	1809-3264		Um bom professor de matemática nos discursos de estudantes do ensino médio	Revista Querubim	REUSE, J. S. ; KEHLER, G. S.	B3	REVISTA QUERUBIM
trabalhoCompletoEmCongresso	Gabriel dos Santos Kehler	2016		Um Bom Professor de Matemática: o que pensam e narram alguns estudantes do ensino médio?	V Escola de Inverno de Educação Matemática 3º Encontro Nacional PIBID-MATEMÁTICA	REUSE, J. S. ; KEHLER, G. S.	Qualis nao identificado	V Escola de Inverno de Educação Matemática 3º Encontro Nacional PIBID-MATEMÁTICA
trabalhoCompletoEmCongresso	Gabriel dos Santos Kehler	2016		Google Drive como Ferramenta Pedagógica: uma proposta colaborativa no âmbito do Pibid	V Escola de Inverno de Educação Matemática 3º Encontro Nacional PIBID-MATEMÁTICA	BRAGANCA, G. M. ; CERETA, A. S. ; KEHLER, G. S.	Qualis nao identificado	V Escola de Inverno de Educação Matemática 3º Encontro Nacional PIBID-MATEMÁTICA
resumoExpandidoEmCongresso	Gabriel dos Santos Kehler	2016	(Re) Significação Matemática: O que é? por que ensinar? como se ensina e se aprende?	8º Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE), 2016, Uruguaiana/RS. 8º Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE). Uruguaiana: Unipampa	SILVA, A. L. ; KEHLER, G. S.	Qualis nao identificado	8º Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE), 2016, Uruguaiana/RS. 8º Salão Internacional de Ensino, Pesquisa e Extensão (SIEPE). Uruguaiana: Unipampa
resumoExpandidoEmCongresso	Gabriel dos Santos Kehler	2016	Noções de formação humana no currículo de matemática	8º Salão de Internacional de Ensino, Pesquisa e Extensão - Universidade Federal do Pampa, 2016, Uruguaiana/RS.. 8º Salão de Internacional de Ensino, Pesquisa e Extensão - Universidade Federal do Pampa. Uruguaiana: Unipampa	SANTOS, G. N. ; KEHLER, G. S.	Qualis nao identificado	8º Salão de Internacional de Ensino, Pesquisa e Extensão - Universidade Federal do Pampa, 2016, Uruguaiana/RS.. 8º Salão de Internacional de Ensino, Pesquisa e Extensão - Universidade Federal do Pampa. Uruguaiana: Unipampa
resumoExpandidoEmCongresso	Gabriel dos Santos Kehler	2016	Era Digital e Conhecimento: efeitos sob seres algoritmados	8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2016, Uruguaiana/RS. 8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa. Uruguaiana: Unipampa	BRAGANCA, G. M. ; KEHLER, G. S.	Qualis nao identificado	8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2016, Uruguaiana/RS. 8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa. Uruguaiana: Unipampa
resumoExpandidoEmCongresso	Gabriel dos Santos Kehler	2016	Articulações críticas entre filosofia da educação, sociedade e cidadania	8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2016, Uruguaiana/RS.. 8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa. Uruguaiana: Unipampa	TALHAFERRO, M. M. ; KEHLER, G. S.	Qualis nao identificado	8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa, 2016, Uruguaiana/RS.. 8º Salão Internacional de Ensino, Pesquisa e Extensão ? Universidade Federal do Pampa. Uruguaiana: Unipampa
artigoEmPeriodico	Gilberto Rodrigues Liska	2018	2179-8087	http://dx.doi.org/10.1590/2179-8087.050816	Biomass and Carbon in a Seasonal Semideciduous Forest in Minas Gerais	FLORAM	SILVA, HELANE FRANÇA ; RIBEIRO, SABINA CERRUTO ; BOTELHO, SORAYA ALVARENGA ; LISKA, GILBERTO RODRIGUES ; CIRILLO, MARCELO ANGELO	Qualis nao identificado	FLORAM
artigoEmPeriodico	Gilberto Rodrigues Liska	2018	2331-1991	http://dx.doi.org/10.4236/ae.2018.62007	Biological Control of Southern Red Mite, Oligonychus ilicis (Acari: Tetranychidae), in Coffee Plants	ADVANCES IN ENTOMOLOGY	TOLEDO, M. A. ; REIS, P. R. ; LISKA, G. R. ; CIRILLO, M. A.	Qualis nao identificado	ADVANCES IN ENTOMOLOGY
artigoEmPeriodico	Gilberto Rodrigues Liska	2018	2331-1991	http://dx.doi.org/10.4236/ae.2018.62010	Predatory Potential of <i>Phytoseiulus macropilis</i> (Banks) Preying on <i>Tetranychus urticae</i> Koch (Acari: Phytoseiidae, Tetranychidae)	ADVANCES IN ENTOMOLOGY	SOUZA-PIMENTEL, GISELLE CHRISTIANE ; REIS, PAULO REBELLES ; LISKA, GILBERTO RODRIGUES ; CIRILLO, MARCELO ÂNGELO	Qualis nao identificado	ADVANCES IN ENTOMOLOGY
artigoEmPeriodico	Gilberto Rodrigues Liska	2018	2301-1548	http://dx.doi.org/10.31285/AGRO.22.2.2	Estimación del tamaño óptimo de parcela en experimentación con batata dulce	AGROCIENCIA URUGUAY	HUMADA-GONZALEZ, G. G. ; MORAIS, A. R. ; MENDOZA, C. A. C. ; BORTOLINI, J. ; LISKA, GILBERTO RODRIGUES	Qualis nao identificado	AGROCIENCIA URUGUAY
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	1538-9472	http://dx.doi.org/10.22237/jmasm/1493597820	Methodology for constructing perceptual maps incorporating measuring error in sensory acceptance tests	JOURNAL OF MODERN APPLIED STATISTICAL METHODS	SANTOS, E. N. F. ; LISKA, G. R. ; CIRILLO, M. A.	Qualis nao identificado	JOURNAL OF MODERN APPLIED STATISTICAL METHODS
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	0957-4174	http://dx.doi.org/10.1016/j.eswa.2016.08.014	Data classification with binary response through the Boosting algorithm and logistic regression	EXPERT SYSTEMS WITH APPLICATIONS	MENEZES, F. S. ; LISKA, G. R. ; CIRILLO, M. A. ; VIVANCO, M. J. F.	A2	
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	2278-5728	http://dx.doi.org/10.9790/5728-130104104109	Monte Carlo Evaluation of Classification Algorithms Based on Fisher's Linear Function in Classification of Patients With CHD	IOSR Journal of Mathematics	LISKA, G.R	Qualis nao identificado	IOSR Journal of Mathematics
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	2518-8380		Precipitações máximas esperadas em Mariscal Estigarribia, Paraguai, via distribuição Gumbel	Tecnologia Agrária	REIS, C. J. ; GONZALEZ, G. G. H. ; LISKA, G. R. ; BORTOLINI, J. ; HUMADA SOSA, J. R. ; BEIJO, L. A. ; CHAVES, L. M. ; BALBUENA, J. G.	Qualis nao identificado	Tecnologia Agrária
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	2518-8380		Aplicação da técnica Bootstrap na estimação do tamanho ótimo de parcela em experimento com soja	Tecnología Agraria	GONZALEZ, G. G. H. ; MORAIS, A. R. ; BRUZI, T. A. ; LISKA, G.R. ; REIS, C. J. ; BORTOLINI, J. ; SOSA, J. R. H.	Qualis nao identificado	Tecnología Agraria
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	1916-9760	http://dx.doi.org/10.5539/jas.v9n9p78	Sensory Profile and Chemical Composition of Specialty Coffees from Matas de Minas Gerais, Brazil	Journal of Agricultural Science	PEREIRA, R. G. F. A. ; FASSIO, L. O. ; LISKA, G.R. ; MALTA, M. R.	Qualis nao identificado	Journal of Agricultural Science
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	1916-9752	http://dx.doi.org/10.5539/jas.v9n12p88	Fatty Acids Profile of Coffea arabica L. Resistant to Leaf Rust Grown in Two Environments of Minas Gerais, Brazil	Journal of Agricultural Science	FASSIO, L. O. ; MALTA, M. R. ; LISKA, G. R.	Qualis nao identificado	Journal of Agricultural Science
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	2278-5728		Monte Carlo Evaluation of Classification Algorithms Based on Fisher's Linear Function in Classification of Patients With CHD	IOSR Journal of Mathematics	LISKA, G. J. R. ; LISKA, G. R. ; HUMADA-GONZALEZ, G. G. ; BORTOLINI, J. ; REIS, C. J.	Qualis nao identificado	IOSR Journal of Mathematics
artigoEmPeriodico	Gilberto Rodrigues Liska	2017	2454-1850	http://dx.doi.org/10.25125/agriculture-journal-IJOEAR-NOV-2017-17	Interspecific Interaction Between Phytoseiulus macropilis and Neoseiulus californicus (Acari: Phytoseiidae) Preying on Tetranychus urticae (Acari: Tetranychidae) on Rosebush Growing in Greenhouse	International Journal of Environmental and Agriculture Research	PIMENTEL, G. C. S. ; REIS, P. R. ; LISKA, G.R. ; CIRILLO, M. A.	Qualis nao identificado	International Journal of Environmental and Agriculture Research
artigoEmPeriodico	Gilberto Rodrigues Liska	2016	2306-5710	http://dx.doi.org/10.3390/beverages2010001	Sensory Description of Cultivars (Coffea Arabica L.) Resistant to Rust and Its Correlation with Caffeine, Trigonelline, and Chlorogenic Acid Compounds	Beverages	FASSIO, L. O. ; MALTA, M. R. ; CARVALHO, G. R. ; LISKA, G. R. ; LIMA, P. M. ; PIMENTA, C. J.	Qualis nao identificado	Beverages
artigoEmPeriodico	Gilberto Rodrigues Liska	2016	1548-0992	http://dx.doi.org/10.1109/tla.2016.7459642	Selecting A Probabilistic Model Applied To The Sensory Analysis Of Specialty Coffees Performed With Consumer	Revista IEEE América Latina	FERREIRA, H. A. ; LISKA, G. R. ; CIRILLO, M. A. ; BOREM, F. M. ; RIBEIRO, D. E. ; CORTEZ, R. M.	A2	REVISTA IEEE AMÉRICA LATINA
artigoEmPeriodico	Gilberto Rodrigues Liska	2016	1983-3431		Humor nos conflitos da relação marido/ mulher: análise linguística e estatística	UNILETRAS	LISKA, G. J. R. ; LISKA, G.R.	B5	
artigoEmPeriodico	Gilberto Rodrigues Liska	2016	2518-8380		Evaluación del algodón en relación al espaciamiento entre hileras y riego	Tecnologia Agrária	GONZALEZ, G. G. H. ; MORAIS, A. R. ; BORTOLINI, J. ; LISKA, G. R. ; AGUILERA, L. A. ; DUECK, J. ; BALBUENA, J. G. ; SOSA, J. R. H.	Qualis nao identificado	Tecnologia Agrária
trabalhoCompletoEmCongresso	Gilberto Rodrigues Liska	2016		Aprimoramento de Intervalo de Confiança para Razão de Chances em Experimentos de Mistura por meio do Modelo de Regressão Simplex	22º SINAPE	LISKA, G. R.; HUMADA, G. G. ; CIRILLO, M. A. ; MENEZES, F. S. ; BEIJO, Luiz Alberto	Qualis nao identificado	22º SINAPE
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2018	Modelos probabilísticos aplicados na estimativa de precipitações pluviométricas intensas em Santa Maria, RS	10º SIEPE, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	MIRES, P. A. ; LISKA, GILBERTO RODRIGUES	Qualis nao identificado	10º SIEPE, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2018	A importância das atividades de monitoria de uma componente curricular em três turmas de estatística	10º SIEPE, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	ELESBAO, I. S. ; LISKA, GILBERTO RODRIGUES	Qualis nao identificado	10º SIEPE, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2018	Distribuição generalizada de Pareto aplicada à análise de eventos extremos de precipitação pluviométrica em Uruguaiana-RS	10º SIEPE, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão	MARTINS, A. L. A. ; LISKA, GILBERTO RODRIGUES	Qualis nao identificado	10º SIEPE, 2018, Santana do Livramento. Anais do Salão Internacional de Ensino, Pesquisa e Extensão
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	ANÁLISE ESTATÍSTICA DO ÍNDICE DE EXPANSÃO DE SNACKS FORMULADOS COM FÉCULA E FARINHA DE MANDIOCA	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA	FONSECA, J. P. A. C. ; LISKA, G.R. ; ALMEIDA, G. M. ; FIORDA, F. A.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	ANÁLISE DE PRECIPITAÇÕES PLUVIOMÉTRICAS EXTREMAS NO MUNICÍPIO DE URUGUAIANA-RS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA	SALDANHA, L. E. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	NÁLISE GEOESTATÍSTICA DA PROBABILIDADE DE OCORRÊNCIA DE ENCHENTES NO MUNICÍPIO DE ITAQUIRS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA	SILVA, S. T. ; LISKA, G.R. ; SILVA, R. M. ; BACURI, A. P. S. C. ; SALES, T. G. ; OLIVEIRA, L. J. C.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	DETERMINAÇÃO DO NÍVEL MÉDIO DA LUMINOSIDADE DE MACARRÃO SEM GLÚTEN FORMULADO COM MANDIOCA E AMARANTO	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA	ALMEIDA, G. M. ; LISKA, G.R. ; FIORDA, F. A. ; FONSECA, J. P. A. C.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	TESTES DE ADERÊNCIA APLICADOS NO AJUSTAMENTO DA DISTRIBUIÇÃO NORMAL ÀS NOTAS MÉDIAS DE DUAS TURMAS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA	ELESBAO, I. S. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	ANÁLISE ESTATÍSTICA DAS ATIVIDADES DE MONITORIA DE UMA COMPONENTE CURRICULAR DO CAMPUS ITAQUI, UNIPAMPA	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA	PIEGAS, M. E. F. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	TEORIA DE VALORES EXTREMOS APLICADA NA ANÁLISE DE EMPERATURA MÁXIMA EM URUGUAIANA, RS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA	FERREIRA, R. V. C. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	APLICAÇÃO DA TEORIA DE VALORES EXTREMOS AOS DADOS DE VELOCIDADE DE VENTO, EM URUGUAIANA, RS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA	ANANIAS, D. R. S. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2016	Descrição sensorial de cultivares resistentes à ferrugem Coffea arábica L. por meio de métodos de análise multivariada	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE	LISKA, G. R.; FASSIO, L. O. ; HUMADA, G. G. ; LISKA, E. R. ; CIRILLO, M. A. ; MALTA, M. R.	Qualis nao identificado	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2016	Aplicação da técnica Bootstrap na determinação do tamanho ótimo de parcela em experimento com soja	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE	HUMADA, G. G. ; MORAIS, A. R. ; BRUZI, A. T. ; LISKA, G. R. ; SILVA, C.	Qualis nao identificado	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE
artigoEmPeriodico	Joacir Marques da Costa	2018	1809-3876		Diversidade e In/Exclusão: vozes e silêncios na formação do/a pedagogo/a	REVISTA E-CURRICULUM (PUCSP)	COSTA, J. M.; DALLA CORTE, M. G. ; SILVA, L. G.	A2	
